comparison,field,source_field_id,records,exact_agreement_n,exact_agreement_percent,cohen_kappa,kappa_status,design_weighted_exact_agreement_percent,instruction_context,interpretation
Frozen AI vs human coder 2,Refusal/resistance position,refusal_resistance_position,400,373,93.25,0.115044,defined,93.98,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Attributed-speech position,attributed_speech_position,400,355,88.75,0.083690,defined,88.28,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Record validity,record_validity,400,400,100.00,,undefined_no_marginal_variation,100.00,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Privacy-chain relevance,privacy_chain_relevance,400,385,96.25,0.883359,defined,96.48,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Material-creation visibility,material_creation_visibility,400,376,94.00,0.819308,defined,94.43,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Material-creation target position,material_creation_target_position,400,366,91.50,0.753886,defined,92.54,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Distribution visibility,distribution_visibility,400,371,92.75,0.783804,defined,93.30,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Distribution actor position,distribution_actor_position,400,370,92.50,0.778107,defined,92.63,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Distribution actor realization,distribution_actor_realization,400,359,89.75,0.637160,defined,90.94,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Distribution target position,distribution_target_position,400,355,88.75,0.675530,defined,89.67,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Distribution authorization-language visibility,distribution_authorization_visibility,400,354,88.50,0.589286,defined,89.67,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Exposure visibility,exposure_visibility,400,360,90.00,0.707469,defined,90.88,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Exposure target position,exposure_target_position,400,356,89.00,0.682831,defined,90.10,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Objectification target position,objectification_target_position,400,322,80.50,0.602796,defined,79.75,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Desire-holder position,desire_holder_position,400,344,86.00,0.362459,defined,86.05,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Pleasure-holder position,pleasure_holder_position,400,358,89.50,0.467461,defined,89.69,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Refusal/resistance position,refusal_resistance_position,400,369,92.25,0.357580,defined,93.01,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Human coder 1 vs human coder 2,Attributed-speech position,attributed_speech_position,400,364,91.00,0.112809,defined,90.76,"Two independent first-exposure, AI-blind human coders",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
